signature_index,tdc1
9b7e3e05a3d714d44edac9d53f3f6a59,22872.393
b3cbc873006b8aa2479ee4899689138c,22094.981
7edcb0aaa934edf4b3f6ca5753162351,19789.152
c5d9a20058fcb2d840b9072d3d09931e,19776.997
02db2ce40cd244cff11d305444d6a848,16899.789
74d07a9ea101bb26ef4bb32dd077fd5f,18555.266
3e6a8508ee20f52836f75fdb06a97d55,19612.793
b59f94e4dda8ec5015a0671bd5e5c306,12825.066
2adeb86fd6aa67afdcc3d5fb774c5dad,15682.219
97ed9f33fb0bfb039837699be11fc118,11555.466
204a49147e37f02680313c1919974586,17937.581
9a90c08477c7b869cec762cfb686f5e5,18637.867
b5303f7f420626c92f5f9f31f1cfde27,18095.355
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
64716f1116e8c18d48f1ec568be1e864,16901.279
603d6d963b44f9a16de320e8d5bf72e9,23392.187
2af549b1d8c5cfd07af0fd6fa6d44fa4,11460.04
2414fc521728d8d2597e688f2227d6be,18687.123
8c8229667803a7d7c9f2427e8747cb45,18767.252
